,index,NAICS,NAICS_Title
156,156,21231,Stone Mining and Quarrying
157,157,212311,Dimension Stone Mining and Quarrying
158,158,212312,Crushed and Broken Limestone Mining and Quarrying
159,159,212313,Crushed and Broken Granite Mining and Quarrying
160,160,212319,Other Crushed and Broken Stone Mining and Quarrying
161,161,21232,"Sand, Gravel, Clay, and Ceramic and Refractory Minerals Mining and Quarrying"
162,162,212321,Construction Sand and Gravel Mining
163,163,212322,Industrial Sand Mining
164,164,212324,Kaolin and Ball Clay Mining
165,165,212325,Clay and Ceramic and Refractory Minerals Mining
166,166,21239,Other Nonmetallic Mineral Mining and Quarrying
167,167,212391,"Potash, Soda, and Borate Mineral Mining"
168,168,212392,Phosphate Rock Mining
169,169,212393,Other Chemical and Fertilizer Mineral Mining
170,170,212399,All Other Nonmetallic Mineral Mining
171,171,213,Support Activities for Mining
172,172,2131,Support Activities for Mining
173,173,21311,Support Activities for Mining
174,174,213111,Drilling Oil and Gas Wells
175,175,213112,Support Activities for Oil and Gas Operations
176,176,213113,Support Activities for Coal Mining
177,177,213114,Support Activities for Metal Mining
178,178,213115,Support Activities for Nonmetallic Minerals (except Fuels) Mining
179,179,22,Utilities
180,180,221,Utilities
181,181,2211,"Electric Power Generation, Transmission and Distribution"
182,182,22111,Electric Power Generation
183,183,221111,Hydroelectric Power Generation
184,184,221112,Fossil Fuel Electric Power Generation
185,185,221113,Nuclear Electric Power Generation
186,186,221114,Solar Electric Power Generation
187,187,221115,Wind Electric Power Generation
188,188,221116,Geothermal Electric Power Generation
189,189,221117,Biomass Electric Power Generation
190,190,221118,Other Electric Power Generation
191,191,22112,"Electric Power Transmission, Control, and Distribution"
192,192,221121,Electric Bulk Power Transmission and Control
193,193,221122,Electric Power Distribution
194,194,2212,Natural Gas Distribution
195,195,22121,Natural Gas Distribution
196,196,221210,Natural Gas Distribution
197,197,2213,"Water, Sewage and Other Systems"
198,198,22131,Water Supply and Irrigation Systems
199,199,221310,Water Supply and Irrigation Systems
200,200,22132,Sewage Treatment Facilities
201,201,221320,Sewage Treatment Facilities
202,202,22133,Steam and Air-Conditioning Supply
203,203,221330,Steam and Air-Conditioning Supply
204,204,23,Construction
205,205,236,Construction of Buildings
206,206,2361,Residential Building Construction
207,207,23611,Residential Building Construction
208,208,236115,New Single-Family Housing Construction (except For-Sale Builders)
209,209,236116,New Multifamily Housing Construction (except For-Sale Builders)
210,210,236117,New Housing For-Sale Builders
211,211,236118,Residential Remodelers
212,212,2362,Nonresidential Building Construction
213,213,23621,Industrial Building Construction
214,214,236210,Industrial Building Construction
215,215,23622,Commercial and Institutional Building Construction
216,216,236220,Commercial and Institutional Building Construction
217,217,237,Heavy and Civil Engineering Construction
218,218,2371,Utility System Construction
219,219,23711,Water and Sewer Line and Related Structures Construction
220,220,237110,Water and Sewer Line and Related Structures Construction
221,221,23712,Oil and Gas Pipeline and Related Structures Construction
222,222,237120,Oil and Gas Pipeline and Related Structures Construction
223,223,23713,Power and Communication Line and Related Structures Construction
224,224,237130,Power and Communication Line and Related Structures Construction
225,225,2372,Land Subdivision
226,226,23721,Land Subdivision
227,227,237210,Land Subdivision
228,228,2373,"Highway, Street, and Bridge Construction"
229,229,23731,"Highway, Street, and Bridge Construction"
230,230,237310,"Highway, Street, and Bridge Construction"
231,231,2379,Other Heavy and Civil Engineering Construction
232,232,23799,Other Heavy and Civil Engineering Construction
233,233,237990,Other Heavy and Civil Engineering Construction
234,234,238,Specialty Trade Contractors
235,235,2381,"Foundation, Structure, and Building Exterior Contractors"
236,236,23811,Poured Concrete Foundation and Structure Contractors
237,237,238110,Poured Concrete Foundation and Structure Contractors
238,238,23812,Structural Steel and Precast Concrete Contractors
239,239,238120,Structural Steel and Precast Concrete Contractors
240,240,23813,Framing Contractors
241,241,238130,Framing Contractors
242,242,23814,Masonry Contractors
243,243,238140,Masonry Contractors
244,244,23815,Glass and Glazing Contractors
245,245,238150,Glass and Glazing Contractors
246,246,23816,Roofing Contractors
247,247,238160,Roofing Contractors
248,248,23817,Siding Contractors
249,249,238170,Siding Contractors
250,250,23819,"Other Foundation, Structure, and Building Exterior Contractors"
251,251,238190,"Other Foundation, Structure, and Building Exterior Contractors"
252,252,2382,Building Equipment Contractors
253,253,23821,Electrical Contractors and Other Wiring Installation Contractors
254,254,238210,Electrical Contractors and Other Wiring Installation Contractors
255,255,23822,"Plumbing, Heating, and Air-Conditioning Contractors"
256,256,238220,"Plumbing, Heating, and Air-Conditioning Contractors"
257,257,23829,Other Building Equipment Contractors
258,258,238290,Other Building Equipment Contractors
259,259,2383,Building Finishing Contractors
260,260,23831,Drywall and Insulation Contractors
261,261,238310,Drywall and Insulation Contractors
262,262,23832,Painting and Wall Covering Contractors
263,263,238320,Painting and Wall Covering Contractors
264,264,23833,Flooring Contractors
265,265,238330,Flooring Contractors
266,266,23834,Tile and Terrazzo Contractors
267,267,238340,Tile and Terrazzo Contractors
268,268,23835,Finish Carpentry Contractors
269,269,238350,Finish Carpentry Contractors
270,270,23839,Other Building Finishing Contractors
271,271,238390,Other Building Finishing Contractors
272,272,2389,Other Specialty Trade Contractors
273,273,23891,Site Preparation Contractors
274,274,238910,Site Preparation Contractors
275,275,23899,All Other Specialty Trade Contractors
276,276,238990,All Other Specialty Trade Contractors
277,277,31,Manufacturing
278,278,32,Manufacturing
279,279,33,Manufacturing
280,280,311,Food Manufacturing
281,281,3111,Animal Food Manufacturing
282,282,31111,Animal Food Manufacturing
283,283,311111,Dog and Cat Food Manufacturing
284,284,311119,Other Animal Food Manufacturing
285,285,3112,Grain and Oilseed Milling
286,286,31121,Flour Milling and Malt Manufacturing
287,287,311211,Flour Milling
288,288,311212,Rice Milling
289,289,311213,Malt Manufacturing
290,290,31122,Starch and Vegetable Fats and Oils Manufacturing
291,291,311221,Wet Corn Milling
292,292,311224,Soybean and Other Oilseed Processing
293,293,311225,Fats and Oils Refining and Blending
294,294,31123,Breakfast Cereal Manufacturing
295,295,311230,Breakfast Cereal Manufacturing
296,296,3113,Sugar and Confectionery Product Manufacturing
297,297,31131,Sugar Manufacturing
298,298,311313,Beet Sugar Manufacturing
299,299,311314,Cane Sugar Manufacturing
300,300,31134,Nonchocolate Confectionery Manufacturing
301,301,311340,Nonchocolate Confectionery Manufacturing
302,302,31135,Chocolate and Confectionery Manufacturing
303,303,311351,Chocolate and Confectionery Manufacturing from Cacao Beans
304,304,311352,Confectionery Manufacturing from Purchased Chocolate
305,305,3114,Fruit and Vegetable Preserving and Specialty Food Manufacturing
306,306,31141,Frozen Food Manufacturing
307,307,311411,"Frozen Fruit, Juice, and Vegetable Manufacturing"
308,308,311412,Frozen Specialty Food Manufacturing
309,309,31142,"Fruit and Vegetable Canning, Pickling, and Drying"
310,310,311421,Fruit and Vegetable Canning
311,311,311422,Specialty Canning
312,312,311423,Dried and Dehydrated Food Manufacturing
313,313,3115,Dairy Product Manufacturing
314,314,31151,Dairy Product (except Frozen) Manufacturing
315,315,311511,Fluid Milk Manufacturing
316,316,311512,Creamery Butter Manufacturing
317,317,311513,Cheese Manufacturing
318,318,311514,"Dry, Condensed, and Evaporated Dairy Product Manufacturing"
319,319,31152,Ice Cream and Frozen Dessert Manufacturing
320,320,311520,Ice Cream and Frozen Dessert Manufacturing
321,321,3116,Animal Slaughtering and Processing
322,322,31161,Animal Slaughtering and Processing
323,323,311611,Animal (except Poultry) Slaughtering
324,324,311612,Meat Processed from Carcasses
325,325,311613,Rendering and Meat Byproduct Processing
326,326,311615,Poultry Processing
327,327,3117,Seafood Product Preparation and Packaging
328,328,31171,Seafood Product Preparation and Packaging
329,329,311710,Seafood Product Preparation and Packaging
330,330,3118,Bakeries and Tortilla Manufacturing
331,331,31181,Bread and Bakery Product Manufacturing
332,332,311811,Retail Bakeries
333,333,311812,Commercial Bakeries
334,334,311813,"Frozen Cakes, Pies, and Other Pastries Manufacturing"
335,335,31182,"Cookie, Cracker, and Pasta Manufacturing"
336,336,311821,Cookie and Cracker Manufacturing
337,337,311824,"Dry Pasta, Dough, and Flour Mixes Manufacturing from Purchased Flour"
338,338,31183,Tortilla Manufacturing
339,339,311830,Tortilla Manufacturing
340,340,3119,Other Food Manufacturing
341,341,31191,Snack Food Manufacturing
342,342,311911,Roasted Nuts and Peanut Butter Manufacturing
343,343,311919,Other Snack Food Manufacturing
344,344,31192,Coffee and Tea Manufacturing
345,345,311920,Coffee and Tea Manufacturing
346,346,31193,Flavoring Syrup and Concentrate Manufacturing
347,347,311930,Flavoring Syrup and Concentrate Manufacturing
348,348,31194,Seasoning and Dressing Manufacturing
349,349,311941,"Mayonnaise, Dressing, and Other Prepared Sauce Manufacturing"
350,350,311942,Spice and Extract Manufacturing
351,351,31199,All Other Food Manufacturing
352,352,311991,Perishable Prepared Food Manufacturing
353,353,311999,All Other Miscellaneous Food Manufacturing
354,354,312,Beverage and Tobacco Product Manufacturing
355,355,3121,Beverage Manufacturing
356,356,31211,Soft Drink and Ice Manufacturing
357,357,312111,Soft Drink Manufacturing
358,358,312112,Bottled Water Manufacturing
359,359,312113,Ice Manufacturing
360,360,31212,Breweries
361,361,312120,Breweries
362,362,31213,Wineries
363,363,312130,Wineries
364,364,31214,Distilleries
365,365,312140,Distilleries
366,366,3122,Tobacco Manufacturing
367,367,31223,Tobacco Manufacturing
368,368,312230,Tobacco Manufacturing
369,369,313,Textile Mills
370,370,3131,"Fiber, Yarn, and Thread Mills"
371,371,31311,"Fiber, Yarn, and Thread Mills"
372,372,313110,"Fiber, Yarn, and Thread Mills"
373,373,3132,Fabric Mills
374,374,31321,Broadwoven Fabric Mills
375,375,313210,Broadwoven Fabric Mills
376,376,31322,Narrow Fabric Mills and Schiffli Machine Embroidery
377,377,313220,Narrow Fabric Mills and Schiffli Machine Embroidery
378,378,31323,Nonwoven Fabric Mills
379,379,313230,Nonwoven Fabric Mills
380,380,31324,Knit Fabric Mills
381,381,313240,Knit Fabric Mills
382,382,3133,Textile and Fabric Finishing and Fabric Coating Mills
383,383,31331,Textile and Fabric Finishing Mills
384,384,313310,Textile and Fabric Finishing Mills
385,385,31332,Fabric Coating Mills
386,386,313320,Fabric Coating Mills
387,387,314,Textile Product Mills
388,388,3141,Textile Furnishings Mills
389,389,31411,Carpet and Rug Mills
390,390,314110,Carpet and Rug Mills
391,391,31412,Curtain and Linen Mills
392,392,314120,Curtain and Linen Mills
393,393,3149,Other Textile Product Mills
394,394,31491,Textile Bag and Canvas Mills
395,395,314910,Textile Bag and Canvas Mills
396,396,31499,All Other Textile Product Mills
397,397,314994,"Rope, Cordage, Twine, Tire Cord, and Tire Fabric Mills"
398,398,314999,All Other Miscellaneous Textile Product Mills
399,399,315,Apparel Manufacturing
400,400,3151,Apparel Knitting Mills
401,401,31511,Hosiery and Sock Mills
402,402,315110,Hosiery and Sock Mills
403,403,31519,Other Apparel Knitting Mills
404,404,315190,Other Apparel Knitting Mills
405,405,3152,Cut and Sew Apparel Manufacturing
406,406,31521,Cut and Sew Apparel Contractors
407,407,315210,Cut and Sew Apparel Contractors
408,408,31522,Men’s and Boys’ Cut and Sew Apparel Manufacturing
409,409,315220,Men’s and Boys’ Cut and Sew Apparel Manufacturing
410,410,31524,"Women’s, Girls’, and Infants’ Cut and Sew Apparel Manufacturing"
411,411,315240,"Women’s, Girls’, and Infants’ Cut and Sew Apparel Manufacturing"
412,412,31528,Other Cut and Sew Apparel Manufacturing
413,413,315280,Other Cut and Sew Apparel Manufacturing
414,414,3159,Apparel Accessories and Other Apparel Manufacturing
415,415,31599,Apparel Accessories and Other Apparel Manufacturing
416,416,315990,Apparel Accessories and Other Apparel Manufacturing
417,417,316,Leather and Allied Product Manufacturing
418,418,3161,Leather and Hide Tanning and Finishing
419,419,31611,Leather and Hide Tanning and Finishing
420,420,316110,Leather and Hide Tanning and Finishing
421,421,3162,Footwear Manufacturing
422,422,31621,Footwear Manufacturing
423,423,316210,Footwear Manufacturing
424,424,3169,Other Leather and Allied Product Manufacturing
425,425,31699,Other Leather and Allied Product Manufacturing
426,426,316992,Women's Handbag and Purse Manufacturing
427,427,316998,All Other Leather Good and Allied Product Manufacturing
428,428,321,Wood Product Manufacturing
429,429,3211,Sawmills and Wood Preservation
430,430,32111,Sawmills and Wood Preservation
431,431,321113,Sawmills
432,432,321114,Wood Preservation
433,433,3212,"Veneer, Plywood, and Engineered Wood Product Manufacturing"
434,434,32121,"Veneer, Plywood, and Engineered Wood Product Manufacturing"
435,435,321211,Hardwood Veneer and Plywood Manufacturing
436,436,321212,Softwood Veneer and Plywood Manufacturing
437,437,321213,Engineered Wood Member (except Truss) Manufacturing
438,438,321214,Truss Manufacturing
439,439,321219,Reconstituted Wood Product Manufacturing
440,440,3219,Other Wood Product Manufacturing
441,441,32191,Millwork
442,442,321911,Wood Window and Door Manufacturing
443,443,321912,"Cut Stock, Resawing Lumber, and Planing"
444,444,321918,Other Millwork (including Flooring)
445,445,32192,Wood Container and Pallet Manufacturing
446,446,321920,Wood Container and Pallet Manufacturing
447,447,32199,All Other Wood Product Manufacturing
448,448,321991,Manufactured Home (Mobile Home) Manufacturing
449,449,321992,Prefabricated Wood Building Manufacturing
450,450,321999,All Other Miscellaneous Wood Product Manufacturing
451,451,322,Paper Manufacturing
452,452,3221,"Pulp, Paper, and Paperboard Mills"
453,453,32211,Pulp Mills
454,454,322110,Pulp Mills
455,455,32212,Paper Mills
456,456,322121,Paper (except Newsprint) Mills
457,457,322122,Newsprint Mills
458,458,32213,Paperboard Mills
459,459,322130,Paperboard Mills
460,460,3222,Converted Paper Product Manufacturing
461,461,32221,Paperboard Container Manufacturing
462,462,322211,Corrugated and Solid Fiber Box Manufacturing
463,463,322212,Folding Paperboard Box Manufacturing
464,464,322219,Other Paperboard Container Manufacturing
465,465,32222,Paper Bag and Coated and Treated Paper Manufacturing
466,466,322220,Paper Bag and Coated and Treated Paper Manufacturing
467,467,32223,Stationery Product Manufacturing
468,468,322230,Stationery Product Manufacturing
469,469,32229,Other Converted Paper Product Manufacturing
470,470,322291,Sanitary Paper Product Manufacturing
471,471,322299,All Other Converted Paper Product Manufacturing
472,472,323,Printing and Related Support Activities
473,473,3231,Printing and Related Support Activities
474,474,32311,Printing
475,475,323111,Commercial Printing (except Screen and Books)
476,476,323113,Commercial Screen Printing
477,477,323117,Books Printing
478,478,32312,Support Activities for Printing
479,479,323120,Support Activities for Printing
480,480,324,Petroleum and Coal Products Manufacturing
481,481,3241,Petroleum and Coal Products Manufacturing
482,482,32411,Petroleum Refineries
483,483,324110,Petroleum Refineries
484,484,32412,"Asphalt Paving, Roofing, and Saturated Materials Manufacturing"
485,485,324121,Asphalt Paving Mixture and Block Manufacturing
486,486,324122,Asphalt Shingle and Coating Materials Manufacturing
487,487,32419,Other Petroleum and Coal Products Manufacturing
488,488,324191,Petroleum Lubricating Oil and Grease Manufacturing
489,489,324199,All Other Petroleum and Coal Products Manufacturing
490,490,325,Chemical Manufacturing
491,491,3251,Basic Chemical Manufacturing
492,492,32511,Petrochemical Manufacturing
493,493,325110,Petrochemical Manufacturing
494,494,32512,Industrial Gas Manufacturing
495,495,325120,Industrial Gas Manufacturing
496,496,32513,Synthetic Dye and Pigment Manufacturing
497,497,325130,Synthetic Dye and Pigment Manufacturing
498,498,32518,Other Basic Inorganic Chemical Manufacturing
499,499,325180,Other Basic Inorganic Chemical Manufacturing
500,500,32519,Other Basic Organic Chemical Manufacturing
501,501,325193,Ethyl Alcohol Manufacturing
502,502,325194,"Cyclic Crude, Intermediate, and Gum and Wood Chemical Manufacturing"
503,503,325199,All Other Basic Organic Chemical Manufacturing
504,504,3252,"Resin, Synthetic Rubber, and Artificial and Synthetic Fibers and Filaments Manufacturing"
505,505,32521,Resin and Synthetic Rubber Manufacturing
506,506,325211,Plastics Material and Resin Manufacturing
507,507,325212,Synthetic Rubber Manufacturing
508,508,32522,Artificial and Synthetic Fibers and Filaments Manufacturing
509,509,325220,Artificial and Synthetic Fibers and Filaments Manufacturing
510,510,3253,"Pesticide, Fertilizer, and Other Agricultural Chemical Manufacturing"
511,511,32531,Fertilizer Manufacturing
512,512,325311,Nitrogenous Fertilizer Manufacturing
513,513,325312,Phosphatic Fertilizer Manufacturing
514,514,325314,Fertilizer (Mixing Only) Manufacturing
515,515,32532,Pesticide and Other Agricultural Chemical Manufacturing
516,516,325320,Pesticide and Other Agricultural Chemical Manufacturing
517,517,3254,Pharmaceutical and Medicine Manufacturing
518,518,32541,Pharmaceutical and Medicine Manufacturing
519,519,325411,Medicinal and Botanical Manufacturing
520,520,325412,Pharmaceutical Preparation Manufacturing
521,521,325413,In-Vitro Diagnostic Substance Manufacturing
522,522,325414,Biological Product (except Diagnostic) Manufacturing
523,523,3255,"Paint, Coating, and Adhesive Manufacturing"
524,524,32551,Paint and Coating Manufacturing
525,525,325510,Paint and Coating Manufacturing
526,526,32552,Adhesive Manufacturing
527,527,325520,Adhesive Manufacturing
528,528,3256,"Soap, Cleaning Compound, and Toilet Preparation Manufacturing"
529,529,32561,Soap and Cleaning Compound Manufacturing
530,530,325611,Soap and Other Detergent Manufacturing
531,531,325612,Polish and Other Sanitation Good Manufacturing
532,532,325613,Surface Active Agent Manufacturing
533,533,32562,Toilet Preparation Manufacturing
534,534,325620,Toilet Preparation Manufacturing
535,535,3259,Other Chemical Product and Preparation Manufacturing
536,536,32591,Printing Ink Manufacturing
537,537,325910,Printing Ink Manufacturing
538,538,32592,Explosives Manufacturing
539,539,325920,Explosives Manufacturing
540,540,32599,All Other Chemical Product and Preparation Manufacturing
541,541,325991,Custom Compounding of Purchased Resins
542,542,325992,"Photographic Film, Paper, Plate, and Chemical Manufacturing"
543,543,325998,All Other Miscellaneous Chemical Product and Preparation Manufacturing
544,544,326,Plastics and Rubber Products Manufacturing
545,545,3261,Plastics Product Manufacturing
546,546,32611,Plastics Packaging Materials and Unlaminated Film and Sheet Manufacturing
547,547,326111,Plastics Bag and Pouch Manufacturing
548,548,326112,Plastics Packaging Film and Sheet (including Laminated) Manufacturing
549,549,326113,Unlaminated Plastics Film and Sheet (except Packaging) Manufacturing
550,550,32612,"Plastics Pipe, Pipe Fitting, and Unlaminated Profile Shape Manufacturing"
551,551,326121,Unlaminated Plastics Profile Shape Manufacturing
552,552,326122,Plastics Pipe and Pipe Fitting Manufacturing
553,553,32613,"Laminated Plastics Plate, Sheet (except Packaging), and Shape Manufacturing"
554,554,326130,"Laminated Plastics Plate, Sheet (except Packaging), and Shape Manufacturing"
555,555,32614,Polystyrene Foam Product Manufacturing
556,556,326140,Polystyrene Foam Product Manufacturing
557,557,32615,Urethane and Other Foam Product (except Polystyrene) Manufacturing
558,558,326150,Urethane and Other Foam Product (except Polystyrene) Manufacturing
559,559,32616,Plastics Bottle Manufacturing
560,560,326160,Plastics Bottle Manufacturing
561,561,32619,Other Plastics Product Manufacturing
562,562,326191,Plastics Plumbing Fixture Manufacturing
563,563,326199,All Other Plastics Product Manufacturing
564,564,3262,Rubber Product Manufacturing
565,565,32621,Tire Manufacturing
566,566,326211,Tire Manufacturing (except Retreading)
567,567,326212,Tire Retreading
568,568,32622,Rubber and Plastics Hoses and Belting Manufacturing
569,569,326220,Rubber and Plastics Hoses and Belting Manufacturing
570,570,32629,Other Rubber Product Manufacturing
571,571,326291,Rubber Product Manufacturing for Mechanical Use
572,572,326299,All Other Rubber Product Manufacturing
573,573,327,Nonmetallic Mineral Product Manufacturing
574,574,3271,Clay Product and Refractory Manufacturing
575,575,32711,"Pottery, Ceramics, and Plumbing Fixture Manufacturing"
576,576,327110,"Pottery, Ceramics, and Plumbing Fixture Manufacturing"
577,577,32712,Clay Building Material and Refractories Manufacturing
578,578,327120,Clay Building Material and Refractories Manufacturing
579,579,3272,Glass and Glass Product Manufacturing
580,580,32721,Glass and Glass Product Manufacturing
581,581,327211,Flat Glass Manufacturing
582,582,327212,Other Pressed and Blown Glass and Glassware Manufacturing
583,583,327213,Glass Container Manufacturing
584,584,327215,Glass Product Manufacturing Made of Purchased Glass
585,585,3273,Cement and Concrete Product Manufacturing
586,586,32731,Cement Manufacturing
587,587,327310,Cement Manufacturing
588,588,32732,Ready-Mix Concrete Manufacturing
589,589,327320,Ready-Mix Concrete Manufacturing
590,590,32733,"Concrete Pipe, Brick, and Block Manufacturing"
591,591,327331,Concrete Block and Brick Manufacturing
592,592,327332,Concrete Pipe Manufacturing
593,593,32739,Other Concrete Product Manufacturing
594,594,327390,Other Concrete Product Manufacturing
595,595,3274,Lime and Gypsum Product Manufacturing
596,596,32741,Lime Manufacturing
597,597,327410,Lime Manufacturing
598,598,32742,Gypsum Product Manufacturing
599,599,327420,Gypsum Product Manufacturing
600,600,3279,Other Nonmetallic Mineral Product Manufacturing
601,601,32791,Abrasive Product Manufacturing
602,602,327910,Abrasive Product Manufacturing
603,603,32799,All Other Nonmetallic Mineral Product Manufacturing
604,604,327991,Cut Stone and Stone Product Manufacturing
605,605,327992,Ground or Treated Mineral and Earth Manufacturing
606,606,327993,Mineral Wool Manufacturing
607,607,327999,All Other Miscellaneous Nonmetallic Mineral Product Manufacturing
608,608,331,Primary Metal Manufacturing
609,609,3311,Iron and Steel Mills and Ferroalloy Manufacturing
610,610,33111,Iron and Steel Mills and Ferroalloy Manufacturing
611,611,331110,Iron and Steel Mills and Ferroalloy Manufacturing
612,612,3312,Steel Product Manufacturing from Purchased Steel
613,613,33121,Iron and Steel Pipe and Tube Manufacturing from Purchased Steel
614,614,331210,Iron and Steel Pipe and Tube Manufacturing from Purchased Steel
615,615,33122,Rolling and Drawing of Purchased Steel
616,616,331221,Rolled Steel Shape Manufacturing
617,617,331222,Steel Wire Drawing
618,618,3313,Alumina and Aluminum Production and Processing
619,619,33131,Alumina and Aluminum Production and Processing
620,620,331313,Alumina Refining and Primary Aluminum Production
621,621,331314,Secondary Smelting and Alloying of Aluminum
