"Fiscal Year","Employer","Initial Approvals","Initial Denials","Continuing Approvals","Continuing Denials","NAICS","Tax ID","State","City","ZIP"
"2019","ATLANTIC DIGESTIVE SPECIALISTS","1","0","0","0","62","","NH","SOMERSWORTH","03878"
"2019","MICRO DATA SYSTEMS INC","0","1","0","0","54","","NJ","HOLMDEL","07733"
"2019","ELEPHANT BYTES INC","0","0","1","0","54","","NJ","JERSEY CITY","07311"
"2019","ALL AMERICAN HEALTHCARE SERVICES","0","0","1","0","56","","NJ","NEWARK","07102"
"2019","RECACHE INC","0","0","0","1","54","","NJ","NORTH BRUNSWICK","08902"
"2019","NETROCON SYSTEMS LLC DBA NETROCON","0","0","1","0","54","","NJ","PRINCETON","08540"
"2019","FPM TECHNOLOGIES INC","0","0","1","0","54","","NJ","SAYREVILLE","08872"
"2019","ENDEAVOUR SOFTWARE TECHNOLOGIES IN","1","0","1","0","54","","NJ","SHORT HILLS","07078"
"2019","KNOWLEDGENT GROUP INC","0","0","1","1","54","","NJ","WARREN","07059"
"2019","LOVELACE BIOMEDICAL & ENVIRONMENTA","1","0","1","0","54","","NM","ALBUQUERQUE","87108"
"2019","MACE NORTH AMERICA LIMITED","0","0","1","0","99","","NY","ATLANTA","14808"
"2019","CHARGE CCCV LLC","1","0","0","0","53","","NY","BINGHAMTON","13902"
"2019","NORWEGIAN CHRISTIAN HOME HLTH CTR","0","0","0","1","62","","NY","BROOKLYN","11219"
"2019","CORNELL UNIV GLOBAL LEARNING","2","0","4","0","61","","NY","ITHACA","14853"
"2019","GREAT HEIGHTS CONSULTING CORP","0","0","1","0","54","","NY","JAMAICA","11432"
"2019","ALTANOVA LLC","0","0","1","0","54","","NY","LONG ISLAND CITY","11101"
"2019","LODGING SOLUTIONS LLC DBA ACCOMIDA","0","0","1","0","56","","NY","MELVILLE","11747"
"2019","RICHMOND CHILDREN S CENTER DBA RIC","1","0","1","0","62","","NY","MOUNT KISCO","10549"
"2019","CRUSHH APP LLC","1","0","0","0","51","","NY","NEW YORK","10003"
"2019","EFESO CONSULTING INC","1","0","0","0","54","","NY","NEW YORK","10004"
"2019","TASKSTREAM HOLDINGS DBA WATERMARK","0","0","1","0","54","","NY","NEW YORK","10010"
"2019","KOSTOW GREENWWOOD ARCHITECTS LLP","0","0","1","0","54","","NY","NEW YORK","10012"
"2019","OSCAR DE LA RENTA LLC","1","0","0","0","31","","NY","NEW YORK","10036"
"2019","WK WEBSTER OVERSEAS LTD","1","0","0","0","52","","NY","NEW YORK","10038"
"2019","TPG OPPORTUNITITES PARTNERS LP","0","0","1","0","52","","NY","NEW YORK","10106"
"2019","LAW OFF OF ALBERT WAI-KIT CHAN PLL","0","0","1","0","54","","NY","WHITESTONE","11357"
"2019","GRANGE MUTUAL CASUALTY COMPANY","0","0","2","0","52","","OH","COLUMBUS","43206"
"2019","TERADA OPERATIONS INC","1","0","0","0","54","","OH","MIAMISBURG","45342"
"2019","OHIO NE HEALTH SYS DBA ONE HEALTH","0","0","1","0","62","","OH","YOUNGSTOWN","44505"
"2019","ALLIANCE STEEL INC","0","0","1","0","33","","OK","OKLAHOMA CITY","73179"
"2019","BIOTRONIK INC","0","0","1","0","33","","OR","LAKE OSWEGO","97035"
"2019","PRODAPT NA","0","0","1","0","54","","OR","TUALATIN","97062"
"2019","DICKINSON COLLEGE","1","0","0","0","61","","PA","CARLISLE","17013"
"2019","URSINUS COLLEGE","0","0","1","0","61","","PA","COLLEGEVILLE","19426"
"2019","VIHAR F W LP BEST WESTERN INN","0","0","1","0","72","","PA","FORT WASHINGTON","19034"
"2019","MASTECH DIGITAL CONSULTING INC A M","0","0","0","1","54","","PA","MOON TOWNSHIP","15108"
"2019","BLUE OCEAN INTERNATIONAL BANK LLC","1","0","0","0","52","","PR","SAN JUAN","00918"
"2019","CBL & ASSOCIATES MANAGEMENT INC","0","1","0","0","53","","TN","CHATTANOOGA","37421"
"2019","UT LEBONHEUR PEDIATRIC SPECIALISTS","0","0","1","0","62","","TN","MEMPHIS","38103"
"2019","LANE BOOT COMPANY","0","0","1","0","31","","TX","ARLINGTON","76011"
"2019","REAL CAPITAL INVESTMENTS LLC","1","0","0","0","53","","TX","AUBREY","76227"
"2019","NATGASOLINE LLC","0","0","1","0","32","","TX","BEAUMONT","77705"
"2019","PRONTO GENERAL AGENCY LTD","1","0","0","0","52","","TX","BROWNSVILLE","78520"
"2019","VERATECH SYSTEMS LLC","1","0","0","0","54","","TX","CEDAR PARK","78613"
"2019","CONROE INDEPENDENT SCHOOL DISTRICT","0","0","1","0","61","","TX","CONROE","77304"
"2019","HUNT JOINER INC","0","0","1","0","54","","TX","DALLAS","75207"
"2019","SLK GLOBAL SOLUTIONS AMERICA","0","0","1","0","54","","TX","DALLAS","75234"
"2019","PINNACLE TECHNICAL RESOURCES I","0","0","0","1","54","","TX","DALLAS","75240"
"2019","U PIZZA LLC","0","0","1","0","72","","TX","FULSHEAR","77441"
"2019","TRAFIGURA TRADING LLC","1","0","0","0","42","","TX","HOUSTON","77010"
"2019","TRAFIGURA TRADING LLC","0","0","1","0","52","","TX","HOUSTON","77010"
"2019","ON TARGET INTERNET SOLUTIONS I LP","0","1","0","0","54","","TX","HOUSTON","77027"
"2019","DATA DYNAMICS INC","1","0","0","0","54","","TX","HOUSTON","77042"
"2019","AMISTCO SEPARATION PRODUCTS INC DB","1","0","0","0","33","","TX","HOUSTON","77053"
"2019","SUPREME PHARMACY LLC DBA METRORX","1","0","0","0","44","","TX","HOUSTON","77057"
"2019","JMP PETROLEUM TECHNOLOGIES LLC","0","1","0","0","33","","TX","HUMBLE","77338"
"2019","PIXENTIA CORP","0","0","0","1","54","","TX","IRVING","75038"
"2019","SOLOVIS INC","1","0","0","0","52","","TX","IRVING","75039"
"2019","UNITED METHODIST CHURCH NW TX CONF","1","0","0","0","81","","TX","LUBBOCK","79401"
"2019","MORROW RENEWABLES LLC","1","0","0","0","21","","TX","MIDLAND","79707"
"2019","MK ASSOCIATES INC","0","0","1","0","54","","TX","PLANO","75075"
"2019","GALAXY ELECTRONICS COMPANY","0","0","1","0","33","","TX","RICHARDSON","75081"
"2019","BHS PHYSICIANS NETWORK INC","0","0","1","0","62","","TX","SAN ANTONIO","78217"
"2019","ALAMO AREA RAPE CRISIS CENTER","0","0","1","0","62","","TX","SAN ANTONIO","78228"
"2019","ENTERPRISE INFIONICS INC","0","0","0","1","54","","TX","SPRING","77379"
"2019","DIVVY PAY INC","0","0","1","0","54","","UT","LEHI","84043"
"2019","TITANIUM LLC D/B/A INLINGUA","1","0","0","0","61","","VA","ARLINGTON","22209"
"2019","LARGETON INC","1","0","1","0","54","","VA","HERNDON","20171"
"2019","TARARA WINERY LLC","0","0","1","0","31","","VA","LEESBURG","20176"
"2019","LUSSOTECH LLC","1","0","0","0","54","","VA","STERLING","20164"
"2019","ABAS-USA INC","1","0","0","0","54","","VA","STERLING","20166"
"2019","CLUNE CONSTRUCTION COMPANY LP","0","0","1","0","23","","VA","VIENNA","22182"
"2019","CONCEPTS INFORMATION TECH","0","0","1","0","99","","VA","VIENNA","22182"
"2019","WESTERN WASHINGTON UNIVERSITY","1","0","0","0","61","","WA","BELLINGHAM","98225"
"2019","MARKET SOLUTIONS ASIA LLC","0","1","0","0","54","","WA","BRUSH PRAIRIE","98606"
"2019","CLEAR SPEECH INCORPORATED","0","0","1","0","62","","WA","EVERETT","98201"
"2019","A2Z DEVELOPMENT CENTER D/B/A LAB 1","1","0","0","0","42","","WA","SEATTLE","98121"
"2019","UNIV OF WISCONSIN SYSTEM/GREEN BAY","0","0","1","0","61","","WI","MADISON","53715"
"2019","LL BEAN INC","0","0","2","0","33","6590","ME","FREEPORT","04033"
"2019","LL BEAN INC","1","0","0","0","44","6590","ME","FREEPORT","04033"
"2019","TD BANK NATIONAL ASSOCIATION","6","0","8","0","52","7770","NJ","MOUNT LAUREL","08054"
"2019","SOUTHERN MAINE HEALTH CARE","0","0","1","0","62","9500","ME","BIDDEFORD","04005"
"2019","THE MOUNT DESERT ISLAND BIOLOGICAL","2","0","0","0","54","2467","ME","SALSBURY COVE","04672"
"2019","COLBY COLLEGE","5","0","3","0","61","1497","ME","WATERVILLE","04901"
"2019","EASTERN MAINE MEDICAL CENTER","5","0","7","0","62","1501","ME","BANGOR","04401"
"2019","THE JACKSON LABORATORY","8","0","18","1","54","1513","ME","BAR HARBOR","04609"
"2019","ST MARYS REGIONAL MEDICAL CENTER","1","0","1","0","62","1551","ME","LEWISTON","04240"
"2019","BATES COLLEGE","2","0","0","0","61","1781","ME","LEWISTON","04240"
"2019","UNIVERSITY OF NEW ENGLAND","1","0","1","0","61","1810","ME","BIDDEFORD","04005"
"2019","MAINE CENTRAL INSTITUTE","0","0","1","0","61","2438","ME","PITTSFIELD","04967"
"2019","BOWDOIN COLLEGE","1","0","5","0","61","5213","ME","BRUNSWICK","04011"
"2019","WRIGHT-PIERCE","0","0","1","0","54","8316","NH","PORTSMOUTH","03801"
"2019","JOHN HANCOCK LIFE INSURANCE CO USA","4","0","21","1","52","3346","MA","BOSTON","02116"
"2019","JOHN HANCOCK LIFE INSURANCE CO USA","2","0","13","1","52","3346","MA","BOSTON","02210"
"2019","MAINE MEDICAL CENTER","1","0","3","0","62","8552","ME","PORTLAND","04102"
"2019","HUSSON UNIVERSITY","1","0","1","0","61","1210","ME","BANGOR","04401"
"2019","REDINGTON FAIRVIEW GENERAL HOSPITA","1","0","2","0","62","4446","ME","SKOWHEGAN","04976"
"2019","HOSPITAL ADMINISTRATIVE DISTRICT N","1","0","0","0","62","9670","ME","DOVER FOXCROFT","04426"
"2019","MCCAIN FOODS USA INC","1","0","0","0","31","8597","IL","OAKBROOK TERRACE","60181"
"2019","TELIGENT INC","0","0","1","0","32","5758","NJ","BUENA","08310"
"2019","LANDING SCH OF BOATBUILDING AND DE","0","1","0","0","61","5980","ME","ARUNDEL","04046"
"2019","WOODARD & CURRAN INC","0","0","2","0","54","3222","ME","PORTLAND","04102"
"2019","THE AROOSTOOK MEDICAL CENTER","4","0","1","0","62","2148","ME","PRESQUE ISLE","04769"
"2019","PINES HEALTH SVCS","2","0","2","0","62","6890","ME","CARIBOU","04736"
"2019","PENOBSCOT RESPIRATORY","1","0","1","0","62","7467","ME","BANGOR","04401"
"2019","IDEXX LABORATORIES INC","2","0","13","0","54","3723","ME","WESTBROOK","04092"
"2019","LANCO ASSEMBLY SYSTEMS DBA LANCO","0","0","1","0","33","4214","ME","WESTBROOK","04092"
"2019","COMMUNITY CLINICAL SERVICES INC","0","0","1","0","62","9788","ME","LEWISTON","04240"
"2019","SOUTHWORTH INTERNATIONAL GROUP INC","0","0","0","1","99","9894","ME","FALMOUTH","04105"
"2019","STROUDWATER ASSOCIATES","0","0","1","0","54","9937","ME","PORTLAND","04102"
"2019","BAKER NEWMAN NOYES PA LLC","0","0","1","0","54","4526","ME","PORTLAND","04101"
"2019","SPECTRUM HEALTHCARE PARTNERS PA","3","0","1","0","62","0040","ME","SOUTH PORTLAND","04106"
"2019","TRC ENGINEERS LLC","1","0","0","0","54","6475","MA","BOSTON","02210"
"2019","TRC ENGINEERS LLC","3","0","3","0","54","6475","ME","AUGUSTA","04330"
"2019","WEX INC","4","0","12","0","52","6993","ME","SOUTH PORTLAND","04106"
"2019","EASTERN MAINE HEALTHCARE SYSTEMS","0","1","0","0","62","7066","ME","BREWER","04412"
"2019","UTC ASSOCIATES INC","0","0","1","0","54","8464","NY","NEW YORK","10001"
"2019","WOOD GROUP USA INC","4","0","8","0","54","1791","TX","HOUSTON","77084"
"2019","ROCHA & COMPANY PC","0","0","1","0","54","2424","MD","GAITHERSBURG","20878"
"2019","EVERCORE PARTNERS SERVICES E LLC","1","0","0","0","52","2543","NY","NEW YORK","10005"
"2019","EVERCORE PARTNERS SERVICES E LLC","25","1","18","0","52","2543","NY","NEW YORK","10055"
"2019","BROOKS SCARPA ARCHITECTS INC","1","0","1","0","54","2842","CA","LOS ANGELES","90043"
"2019","KEBOK COM LLC","1","0","0","0","54","7070","MI","TROY","48098"
"2019","DREAMLAND PRESCHOOL INC","0","1","0","0","62","8393","CA","IRVINE","92604"
"2019","ARIZONA PRODUCTION & PACKAGING LLC","1","0","1","0","33","9957","AZ","TEMPE","85283"
"2019","SC & ASSOCIATES LLP","1","0","0","0","54","2318","NY","GREAT NECK","11021"
"2019","WOOD MACKENZIE INC","4","0","4","1","54","4533","TX","HOUSTON","77057"
"2019","ASIAN HUMAN SVCS FAMILY HLTH CARE","0","1","0","0","62","7661","IL","CHICAGO","60659"
"2019","HITACHI HIGH TECHNOLOGIES AM INC","0","0","1","0","54","9971","IL","SCHAUMBURG","60173"
"2019","CUSTOMER VALUE PARTNERS INC","0","0","3","0","54","0597","VA","FAIRFAX","22030"
"2019","DIGITAS INC","1","0","0","0","54","2286","MA","BOSTON","02109"
"2019","DIGITAS INC","2","0","2","1","54","2286","MA","BOSTON","02110"
"2019","AKSHAYA PATRA USA","0","1","0","0","81","4950","MA","STONEHAM","02180"
"2019","3SHARP LLC","0","0","1","0","51","8148","WA","REDMOND","98052"
"2019","STOKES HEALTHCARE INC DBA STOKES","1","0","0","0","44","8853","NJ","MOUNT LAUREL","08054"
"2019","GLOBAL FORCE USA INC","0","2","2","0","54","9993","TX","HOUSTON","77074"
"2019","DEEPIKA JAIN DDS INC","0","0","1","0","62","2414","CA","SAN JOSE","95122"
"2019","ADVANCED PURIFICATION ENGRG CORP","0","0","1","0","22","7030","CA","CITY OF INDUSTRY","91745"
"2019","ADVANCED PURIFICATION ENGINEERING","1","0","0","0","33","7030","CA","CITY OF INDUSTRY","91745"
"2019","ELIZABETH R BLANDON PA D/B/A BLAND","1","0","0","0","54","1872","FL","WESTON","33331"
"2019","NARDI ASSOCIATES LLP","1","0","0","0","54","4756","CA","MONROVIA","91016"
"2019","NT CONSULTING INC","0","0","1","0","54","8939","DE","NEWARK","19711"
"2019","ASBURY AUTOMOTIVE GROUP INC","2","1","0","0","44","9375","GA","DULUTH","30097"
"2019","JIASSEN CARE SVCS INC DBA PRINCESS","0","1","0","0","62","2236","CA","CAMPBELL","95008"
"2019","INTECH INVESTMENT MANAGEMENT LLC","0","0","2","0","52","4895","FL","WEST PALM BEACH","33401"
"2019","ENERGY RECOVERY INC","2","1","1","0","33","6867","CA","SAN LEANDRO","94577"
"2019","SPACE EXPLORATION TECHNOLOGIES COR","1","1","0","0","33","7671","CA","HAWTHORNE","90250"
"2019","3C DRILLING LLC","0","0","1","0","21","7722","PA","QUAKERTOWN","18951"
"2019","3C DRILLING LLC","0","0","1","0","23","7722","PA","QUAKERTOWN","18951"
"2019","TECHNICAL STRATEGIES INC","0","3","5","3","54","8930","VA","CHANTILLY","20151"
"2019","KIPP AUSTIN PUBLIC SCHOOLS","1","0","0","0","61","9602","TX","AUSTIN","78724"
"2019","KIPP TEXAS INC","2","0","5","0","61","9602","TX","HOUSTON","77099"
"2019","ENCHOICE INC","0","0","1","0","54","9774","AZ","TEMPE","85282"
"2019","SCARLET INFOTECH INC DBA EXPEDIEN","0","0","1","0","54","1832","TX","HOUSTON","77027"
"2019","DYNAMIC RATINGS INC","2","0","1","0","33","2517","WI","SUSSEX","53089"
"2019","ROADSIDE SYSTEMS INC","0","0","1","0","54","3591","MO","SAINT LOUIS","63143"
"2019","NEURO-CARE OF VIRGINIA","0","0","1","0","62","8639","VA","PRINCE GEORGE","23875"
"2019","GRANDSTREAM NETWORKS INC","4","2","1","0","33","8916","MA","BOSTON","02215"
"2019","CROWN VETERINARY SPCS LLC CROWN VE","1","0","0","0","54","2720","NJ","LEBANON","08833"
"2019","PERKINS WILL CRA LLC","2","0","1","0","54","4481","IL","CHICAGO","60611"
"2019","MRO CORPORATION","0","0","1","0","54","1910","PA","NORRISTOWN","19403"
"2019","ALERT LOGIC INC","1","0","2","0","54","3750","TX","HOUSTON","77056"
"2019","HURON CONSULTING SERVICES LLC","1","0","0","0","54","6453","IL","CHICAGO","60606"
"2019","HURON CONSULTING SERVICES LLC","10","4","23","6","54","6453","IL","CHICAGO","60607"
"2019","VT SAN ANTONIO AEROSPACE INC","0","0","0","1","48","1036","TX","SAN ANTONIO","78233"
"2019","FINXERA INC","0","0","1","0","52","4752","CA","SAN JOSE","95113"
"2019","ADVANCED BOTANICAL CONSULTING AND","1","0","0","0","54","4784","CA","TUSTIN","92780"
"2019","1ST ORIENTAL MARKET LLC","0","0","0","1","44","7242","FL","ORLANDO","32808"
"2019","NORTHERN TECH GROUP INC D/B/A NTG","1","0","0","0","54","8620","FL","TAMPA","33613"
"2019","DOCTORS MAKING HOUSECALLS LLC","0","0","1","0","62","0697","NC","DURHAM","27713"
"2019","RARITAN PHARMACEUTICALS INC","1","0","2","0","32","0942","NJ","EAST BRUNSWICK","08816"
"2019","TEKVIZION PVS INC","0","0","1","0","99","4395","TX","PLANO","75075"
"2019","AEROTEK SCIENTIFIC LLC","1","0","0","0","54","5775","MD","HANOVER","21076"
"2019","HIREZON CORPORATION DBA INTERVIEWE","1","0","1","0","54","8663","MA","WESTBOROUGH","01581"
"2019","PROENERGY SVCS LLC","0","0","1","0","54","1758","MO","SEDALIA","65301"
"2019","PCCW GLOBAL INC","1","0","0","0","51","3873","VA","HERNDON","20170"
"2019","FUND EVALUATION GROUP LLC","1","0","0","0","52","4771","OH","CINCINNATI","45202"
"2019","UNIQUE GIFTS TS INC","0","0","1","0","45","6419","TN","GATLINBURG","37738"
"2019","MENDENHALL SMITH STRUCTURAL ENGINE","1","0","0","0","54","8539","NV","LAS VEGAS","89117"
"2019","INNOVATE INC","0","0","2","0","54","0529","VA","ALEXANDRIA","22310"
"2019","FIRST COAST NO MORE HOMELESS PETS","0","0","2","0","54","9158","FL","JACKSONVILLE","32208"
"2019","OXYGEN DEVELOPMENT LLC","1","1","0","0","32","5094","FL","PALM SPRINGS","33406"
"2019","TERATHINK CORPORATION","1","0","2","0","54","7106","VA","RESTON","20190"
"2019","DELASOFT INC","2","1","29","2","54","2358","DE","NEW CASTLE","19720"
"2019","HEALTHY SMILE FAMILY DENTISTRY P C","0","0","1","0","62","4360","MI","YPSILANTI","48197"
"2019","AMERICAN PUBLIC EDUCATION INC","0","0","6","0","61","4376","WV","CHARLES TOWN","25414"
"2019","JEFFERIES INVESTMENT ADVISERS LLC","4","0","5","0","52","4452","NY","NEW YORK","10022"
"2019","ANTON COLLINS MITCHELL LLP","0","0","1","0","54","4563","CO","DENVER","80203"
"2019","TELIOS CORPORATION","0","0","1","0","54","6029","TX","DALLAS","75207"
"2019","ARMO CONSULTANTS LLC","3","1","12","1","54","7102","NJ","PARSIPPANY","07054"
"2019","INTEGRATED FLOW SOLUTIONS LLC","0","0","1","0","54","7249","TX","TYLER","75708"
"2019","CBS MANUFACTURING GROUP","0","1","0","0","42","8616","CA","WESTLAKE VILLAGE","91361"
"2019","WRP USA INC","0","1","0","0","33","8813","OH","UNIONTOWN","44685"
"2019","J K JEWELRY INC DBA J K FINDINGS","1","0","0","0","33","0950","NY","ROCHESTER","14623"
"2019","PRECO INC","1","0","0","0","54","1767","WI","SOMERSET","54025"
"2019","HUEY CHIAO INTL INC DBA TELEFORCE","1","0","0","0","42","2711","TX","DALLAS","75229"
"2019","GARVER LLC","0","0","1","0","54","3400","AR","NORTH LITTLE ROCK","72118"
"2019","BAVELLE TECHNOLOGIES GROUP LLC","1","0","0","0","54","3604","NJ","EAST HANOVER","07936"
"2019","AMETRADE INC D/B/A AMEPOWER","1","0","0","0","42","6955","FL","MIAMI","33172"
"2019","TRUMPF PHOTONICS INC","2","0","3","0","33","7824","NJ","CRANBURY","08512"
